,Voltage,Current
109,-3.80241935483871,6.964809384163928e-08
110,-3.8999266862170074,8.357771260997283e-08
111,-4.004398826979472,8.357771260997283e-08
112,-4.108870967741936,9.750733137829926e-08
113,-4.19941348973607,8.357771260997283e-08
114,-4.331744868035191,8.357771260997283e-08
115,-4.422287390029325,6.964809384163928e-08
116,-4.5267595307917885,4.178885630498286e-08
117,-4.64516129032258,8.357771260997283e-08
118,-4.742668621700879,8.357771260997283e-08
119,-4.847140762463344,9.750733137829926e-08
120,-4.951612903225806,6.964809384163928e-08
121,-5.0560850439882685,6.964809384163928e-08
122,-5.153592375366569,9.750733137829926e-08
123,-5.265029325513196,5.57184750733164e-08
124,-5.3695014662756595,9.750733137829926e-08
125,-5.467008797653959,6.964809384163928e-08
126,-5.571480938416421,9.750733137829926e-08
127,-5.682917888563049,6.964809384163928e-08
128,-5.780425219941349,9.750733137829926e-08
129,-5.864002932551319,5.57184750733164e-08
130,-5.877932551319647,4.178885630498286e-08
131,-5.857038123167155,6.964809384163928e-08
132,-5.794354838709676,-3.552713678800501e-21
133,-5.745601173020527,4.178885630498286e-08
134,-5.662023460410557,2.7859237536656422e-08
135,-5.578445747800586,1.3929618768329988e-08
136,-5.480938416422287,1.3929618768329988e-08
137,-5.3695014662756595,1.3929618768329988e-08
138,-5.278958944281525,1.3929618768329988e-08
139,-5.174486803519061,2.7859237536656422e-08
140,-5.09090909090909,1.3929618768329988e-08
141,-4.9794721407624625,2.7859237536656422e-08
142,-4.881964809384165,1.3929618768329988e-08
143,-4.777492668621701,2.7859237536656422e-08
144,-4.666055718475073,1.3929618768329988e-08
145,-4.568548387096774,-3.552713678800501e-21
146,-4.457111436950146,-3.552713678800501e-21
147,-4.352639296187682,-3.552713678800501e-21
148,-4.241202346041055,-3.552713678800501e-21
149,-4.143695014662756,1.3929618768329988e-08
150,-4.046187683284457,1.3929618768329988e-08
151,-3.941715542521994,1.3929618768329988e-08
152,-3.8372434017595296,-1.3929618768326434e-08
153,-3.725806451612902,1.3929618768329988e-08
154,-3.6213343108504397,-3.552713678800501e-21
155,-3.5238269794721404,-1.3929618768326434e-08
156,-3.426319648093841,-1.3929618768326434e-08
157,-3.3079178885630505,-3.552713678800501e-21
158,-3.2173753665689144,-3.552713678800501e-21
159,-3.105938416422287,-1.3929618768326434e-08
160,-3.0014662756598245,-1.3929618768326434e-08
161,-2.9039589442815235,-1.3929618768326434e-08
162,-2.7925219941348978,1.3929618768329988e-08
163,-2.6880498533724335,-3.552713678800501e-21
164,-2.5975073313782993,-2.7859237536656422e-08
165,-2.486070381231672,-1.3929618768326434e-08
166,-2.3885630498533708,-3.552713678800501e-21
167,-2.277126099706745,1.3929618768329988e-08
168,-2.179618768328446,-3.552713678800501e-21
169,-2.0612170087976533,-1.3929618768326434e-08
170,-1.963709677419354,-3.552713678800501e-21
171,-1.8522727272727266,-3.552713678800501e-21
172,-1.7478005865102642,-1.3929618768326434e-08
173,-1.6502932551319631,-3.552713678800501e-21
174,-1.5318914956011724,-1.3929618768326434e-08
175,-1.4343841642228732,-1.3929618768326434e-08
176,-1.3299120234604107,-1.3929618768326434e-08
177,-1.2184750733137815,-3.552713678800501e-21
178,-1.120967741935484,-2.7859237536656422e-08
179,-1.0164956011730197,-1.3929618768326434e-08
180,-0.9120234604105555,-3.552713678800501e-21
181,-0.8284457478005862,-2.7859237536656422e-08
182,-0.7170087976539588,-1.3929618768326434e-08
183,-0.6125366568914963,-2.7859237536656422e-08
184,-0.508064516129032,-3.552713678800501e-21
185,-0.4105571847507328,-1.3929618768326434e-08
186,-0.3060850439882703,-1.3929618768326434e-08
187,-0.20161290322580605,-3.552713678800501e-21
188,-0.09017595307917858,-4.1788856304986414e-08
189,0.014296187683285666,-1.3929618768326434e-08
190,0.11876832844574992,-2.7859237536656422e-08
191,0.2162756598240474,-2.7859237536656422e-08
192,0.32771260997067486,-3.552713678800501e-21
193,0.4321847507331391,-4.1788856304986414e-08
194,0.5296920821114384,-1.3929618768326434e-08
195,0.6411290322580641,-3.552713678800501e-21
196,0.7247067448680369,-2.7859237536656422e-08
197,0.8361436950146643,-2.7859237536656422e-08
198,0.9406158357771268,-1.3929618768326434e-08
199,1.038123167155426,-1.3929618768326434e-08
200,1.1495601173020553,-2.7859237536656422e-08
201,1.260997067448681,-1.3929618768326434e-08
202,1.3793988269794717,-2.7859237536656422e-08
203,1.4629765395894445,-2.7859237536656422e-08
204,1.574413489736072,-1.3929618768326434e-08
205,1.6788856304985345,-2.7859237536656422e-08
206,1.7763929618768337,-4.1788856304986414e-08
207,1.887829912023463,-2.7859237536656422e-08
208,1.9923020527859236,-5.5718475073312845e-08
209,2.096774193548388,-6.964809384164638e-08
210,2.201246334310852,-1.532258064516121e-07
211,2.3126832844574796,-2.785923753665678e-07
212,2.417155425219942,-3.900293255131935e-07
213,2.5146627565982413,-4.457478005865134e-07
214,2.6260997067448706,-5.850439882697991e-07
215,2.723607038123168,-6.686217008797648e-07
216,2.8280791788856323,-7.661290322580605e-07
217,2.93951612903226,-8.357771260997033e-07
218,3.0439882697947205,-9.193548387096797e-07
219,3.1554252199413497,-9.89002932551319e-07
220,3.252932551319649,-1.072580645161292e-06
221,3.3574046920821115,-1.1422287390029346e-06
222,3.468841642228739,-1.2397360703812304e-06
