,c,t,ne,Te
109,3716.0,60897,12825.789225281203,9999.999999155401
110,3718.0,60977,14103.019160204978,9999.999999999993
111,3720.0,61047,12534.730675842948,9443.36728680605
112,3722.0,61128,11672.185062217484,7826.943371806517
113,3726.0,61539,13368.328816467238,9945.463083915172
114,3728.0,61611,13486.72095670985,9999.999999999998
115,3730.0,61692,14546.556249204301,9999.999999999505
116,3732.0,61761,12535.442410240934,8690.114280667995
117,3734.0,61842,14074.069488303061,9999.999999999998
118,3736.0,61925,13413.304381613701,9999.999999999998
119,3738.0,61995,12975.331355430759,9944.083846685287
120,3740.0,62075,13288.313094725025,9999.999999999998
121,3742.0,62145,13083.755157116097,9999.999996952454
122,3746.0,62305,13569.170851892688,8716.197736904685
123,3748.0,62388,12731.968237385243,9999.999997705087
124,3750.0,62457,14125.737242608793,9999.999995632339
125,3752.0,62541,13818.068651320662,9999.819667890726
126,3754.0,62610,11401.852524801165,7737.079157395382
127,3756.0,62691,12727.45308006471,9162.556105707004
128,3758.0,62760,12512.305956298642,9444.958252287104
129,3760.0,62844,12534.184076785841,9999.999991394581
130,3762.0,62913,13097.87767795365,9999.999999999996
131,3766.0,63335,13047.524479087911,9783.643011378592
132,3768.0,63405,12615.306318758838,9999.999999334856
133,3770.0,63488,11569.08643029823,8286.236843222689
134,3772.0,63558,13896.305141190815,9999.999999999873
135,3774.0,63638,13526.236024263299,9999.999991860268
136,3776.0,63707,13174.299229212547,8822.204323062713
137,3778.0,63791,12521.93666668014,8473.89384190586
138,3780.0,63860,12097.511921089837,9999.999999999998
139,3782.0,63940,13167.380841288841,9647.987270014995
140,3786.0,64097,13337.43136865405,9999.999999783979
141,3788.0,64171,12565.579065069303,9999.999996094708
142,3790.0,64251,12964.724532854085,9276.126407039466
143,3792.0,64320,13673.053087497736,8850.424793130935
144,3794.0,64404,13427.770625050101,9999.999999999998
145,3796.0,64487,11728.905639081942,8993.873790400392
146,3798.0,64557,13363.77895514803,9999.999999778935
147,3800.0,64635,12485.866189029177,9999.999999999902
148,3802.0,64706,12844.270884836302,9999.99999989898
149,3806.0,65133,12497.039571141766,9999.436250797116
150,3808.0,65214,12917.116244130477,9999.999999998316
151,3810.0,65283,12851.942253717747,9730.166155705034
152,3812.0,65364,11993.568574200131,9417.077347062415
153,3814.0,65436,12500.540695794836,9757.984882938108
154,3816.0,65517,14142.773559159437,9999.999999872825
155,3818.0,65586,12000.990715577806,9832.916902898258
156,3820.0,65667,12248.457259353736,8533.609520934235
157,3822.0,65749,12292.70861222779,8984.43949733115
158,3826.0,65907,13252.940689738116,9999.999999999998
159,3828.0,65978,13141.720841768243,9999.99999999976
160,3830.0,66058,13166.263983156701,9999.999999990852
161,3832.0,66131,12431.607059293652,9986.94915611179
162,3834.0,66212,12111.080041463021,9999.986214545701
163,3836.0,66281,11325.634200774262,7420.187747390862
164,3838.0,66362,12111.953704922187,9039.126626941352
165,3840.0,66434,12420.346146032507,9368.489788887216
166,3842.0,66515,11952.604855390766,7924.787463548082
167,3846.0,66926,13164.287486619884,9999.999999999998
168,3848.0,66995,12515.333083436173,9998.988475655817
169,3850.0,67079,13621.183966375473,9999.999999999998
170,3852.0,67159,12715.195901604995,9999.999999756556
171,3854.0,67229,12976.551276279477,9999.999998221814
172,3856.0,67308,13357.96611198074,9999.999995794804
